STCODE,FORMAT,FAMILY,GENUS,SPECIES,SSP,VARIETY,AUTHOR,AUTHOR2,COMMON,SYNONYMS,HABITAT,ZONE,ABUNDANCE,ACRONYM
SA002,1,"ACERACEAE","Acer","circinatum","","","Pursh","","Vine Maple","","Stream banks to fairly dry open slopes.","TSHE to lower ABAM",A,"ACCI"
SA002,1,"ACERACEAE","Acer","glabrum","","douglasii","Torr.","(Hook.) Dippel","Douglas' Maple","A. d.","Ridge tops at lower elevations, to streambanks and meadows at higher.","upper TSHE to ABAM; TSME",O,"ACGL"
SA002,1,"ACERACEAE","Acer","macrophyllum","","","Pursh","","Big Leaf Maple, Common or Oregon Maple","","Along streams and rivers and in other moist places in the lower elevations.","to upper TSHE, rarely above",A,"ACMA"
SA002,1,"ANACARDIACEAE","Rhus","diversiloba","","","T. & G.","","Poison Oak, Poison-Ivy","Toxicodendron lobadioides","Dry, rocky, south-factin slopes and ridges.","TSHE",I,"RHDI"
SA002,1,"APOCYNACEAE","Apocynum","androsaemifolium","","androsaemifolium","L.","","Spreading or Flytrap Dogbane, Bitter-Root","A. a. var. incanun, A. i., A. scopulorum, A. macranthum","Generally on rather dry soil on open sites in valleys and foothills to semi-alpine slopes.","TSHE to ABAM",O,"APAN"
SA002,1,"ARACEAE","Lysichitum","americanum","","","Hulten & St. John","","Skunk Cabbage","","wet, low, swampy areas; low to middle elevations.","TSHE to lower ABAM; TSME",O,"LYAM"
SA002,1,"ARALIACEAE","Aralia","californica","","","S. Wats.","","Western Aralis, California Spikenard","","Open to semi-shady stream banks and moist woods.","to upper TSHE",A,"ARCA3"
SA002,1,"ARALIACEAE","Oplopanax","horridus","","","(Smith) Miq.","","Devil's Club","Echinopanax h., Fatsia h., Panax h., Ricinophyllum h.","Moist, cool woods, especially near streams.","mid TSHE to ABAM",O,"OPHO"
SA002,1,"ARISTOLOCHIACEAE","Asarum","caudatum","","","Lindl.","","Wild Ginger","A. hookeri, A. c. f. chloroleucum","Moist, shady woods, generally in deep duff; lowland to mid- montane. Flowers often nearly    buried","TSHE to lower ABAM",I,"ASCA3"
SA002,1,"BERBERIDACEAE","Achlys","triphylla","","","(Smith) DC.","","Vanillaleaf, Deerfoot, Moosehead","","Deep woods to open meadows, often near streams.","TSHE to ABAM; TSME",F,"ACTR"
SA002,1,"BERBERIDACEAE","Berberis","aquifolium","","","Pursh.","","Shining or Tall Oregongrape","B. nutkana","Thin woods and openings.","to mid TSHE",F,"BEAQ"
SA002,1,"BERBERIDACEAE","Berberis","nervosa","","","Pursh","","Dull or Cascade Oregongrape","","Light to shady woods.","TSHE to mid ABAM",F,"BENE"
SA002,1,"BERBERIDACEAE","Vancouveria","hexandra","","","(Hook.) Morr. & Dec.","","White Inside-out-Flower","V. brevicula, V. picta","Moist shady woods.","TSHE to mid ABAM",F,"VAHE"
SA002,1,"BETULACEAE","Alnus","rubra","","","Bong.","","Red or Oregon Alder","A. oregana","Moist lowlands, especially along streams.","TSHE",A,"ALRU"
SA002,1,"BETULACEAE","Alnus","sinuata","","","(Regel) Rydb.","","Sitka or Wavy-leaved Alder","","Moist places, lowland to subalpine.","TSHE to ABAM",F,"ALSI"
SA002,1,"BETULACEAE","Corylus","cornuta","","californica","Marsh.","(D.C.) Sharp","Hazelnut, Filbert","C. c.","Abundant on will-drained soil at lower elevations.","TSHE to lower ABAM",,"COCO2"
SA002,1,"BORAGINACEAE","Cryptantha","intermedia","","grandiflora","(Gray) Greene","(Rydb.) Cronq.","Common Cryptantha","C. g., C. hendersonii","Dry, open slopes at lower elevations.","TSHE",O,"CRIN2"
SA002,1,"BORAGINACEAE","Mertensia","bella","","","Piper","","Oregon Lungwort or Bluebells","","In wet meadows and other moist places up to middle elevations in the mountains.","lower ABAM",O,"MEBE"
SA002,1,"BORAGINACEAE","Myosotis","discolor","","","Pers.","","Yellow and Blue Forget-me-not or Scorpion Grass","","Introduces European species, open, often dry, gravelly places, roadsides, waste places and meadows.","TSHE",I,"MYDI"
SA002,1,"CALLITRICHACEAE","Callitriche","heterophylla","","heterophy phylla","Pursh","","Different-leaved Water-Starwort","C. austini, C. deflexa var. a.","Emergent of quiet water of streams or ponds.","TSHE",I,"CAHE3"
SA002,1,"CAMPANULACEAE","Campanula","scouleri","","","Hook.","","Scouler's Harebell or Bellflower","","Open woods and slopes, often in rocky soil.","TSHE to ABAM",F,"CASC2"
SA002,1,"CAPRIFOLIACEAE","Linnaea","borealis","","longiflora","","Torr.","Western Twinflower","L. l., L. americana","Moist, semi-shady woods, often along streams.","TSHE to ABAM; TSME",F,"LIBO2"
SA002,1,"CAPRIFOLIACEAE","Lonicera","ciliosa","","","(Pursh) DC.","","Trumpet, or Orange Honeysuckle","","Native twining vine of open woods, often hillsides and ridges.","TSHE",O,"LOCI"
SA002,1,"CAPRIFOLIACEAE","Sambucus","cerulea","","cerulea","Raf.","","Blue Elderberry","","Open woods and thickets, clearcuts and edges of meadows.","mainly TSHE; TSME",O,"SACE"
SA002,1,"CAPRIFOLIACEAE","Sambucus","racemosa","pubens (Michx) House","arborescens","L.","(T. & G.) Gray","Red or Coast Red Elderberry","","Mainly along fairly open stream banks, middle to upper elevations.","mainly ABAM",O,"SARA"
SA002,1,"CAPRIFOLIACEAE","Symphoricarpos","albus","","laevigatus","(L.) Blake","Fern","Common Snowberry","","Open woods and edges of meadows, fairly moist soil.","TSHE to lower ABAM",F,"SYAL"
SA002,1,"CAPRIFOLIACEAE","Symphoricarpos","mollis","","hesperius","Nutt.","(G.N. Jones) Cronq.","Creeping Snowberry","S. h.","Woods and open slopes up to middle elevations in the mountains.","TSHE to lower ABAM",F,"SYMO"
SA002,1,"CARYOPHYLLACEAE","Arenaria","capillaris","","americana","Poir.","(Mag.) Davis","Mountain or Thread-leaved Sandwort","A. nardifolia","Lowlands to subalpine rocky ridges.","TSHE to lower ABAM",O,"ARCA2"
SA002,1,"CARYOPHYLLACEAE","Arenaria","macrophylla","","","Hook.","","Bigleaf Sandwort","","Moist to dry, shaded to open places, meadowland to montane slopes.","TSHE to ABAM; TSME",F,"ARMA3"
SA002,1,"CARYOPHYLLACEAE","Cerastium","arvense","","","L.","","Field Chickweed, Starry Cerastium, Field Mouse-ear","C. angustatum, C. campestre, C. elongatum, C. graminifolium, C. liebergii, C. scopulorum, C. thermale, C. variabile","Often matted plant of cliffs to subalpine slopes.","TSHE to lower ABAM",O,"CEAR"
SA002,1,"CARYOPHYLLACEAE","Cerastium","viscosum","","","L.","","Sticky Chickweed or Cerastium","","Eurasian weed growing at lower elevations.","TSHE",,"CEVI"
SA002,1,"CARYOPHYLLACEAE","Dianthus","armeria","","","L.","","Grass or Deptford Pink","","Escaped garden annual.","TSHE",,"DIAR"
SA002,1,"CARYOPHYLLACEAE","Silene","douglasii","","douglasii","Hook.","","Douglas' Silene","S. columbiana, S. dilata, S. lyallii, S. macrocalyx, S. multicaule","Lowland to montane ridges, dry, open sites.","upper TSHE to ABAM",O,"SIDO2"
SA002,1,"CARYOPHYLLACEAE","Silene","menziesii","","menziesii","Hook.","","Menzies' Silene","","Occasional in dry, open sites. low growing herb","TSHE",,"SIME"
SA002,1,"CARYOPHYLLACEAE","Stellaria","crispa","","","Cham. & Schlecht.","","Crisped Starwort","","Moist places, lowland to foothills or lower mountains.","TSHE to lower ABAM",O,"STCR"
SA002,1,"CELASTRACEAE","Pachistima","myrsinites","","","(Pursh) Raf.","","Mountain Box or Lover, Myrtle or Oregon Boxwood","","Mostly midmontane slopes, semi-shady to open sites","TSHE to ABAM; TSME",O,"PAMY"
SA002,1,"COMPOSITAE","Achillea","millefolium","lanulosa","lanulosa","L.","(Nutt.) Piper","Yarrow","","Dry, open sites, often in disturbed areas; lowland to midmontane","TSHE to ABAM; TSME",F,"ACMI"
SA002,1,"COMPOSITAE","Adenocaulon","bicolor","","","Hook.","","Trail-Plant, Pathfinder","","Moist woods, shady to fairly open, often along trails.","TSHE to mid ABAM",F,"ADBI"
